dataset,feature,model,n_labels,n_samples,f1_macro,f1_macro_std,f1_macro_folds,f1_micro,f1_micro_std,f1_micro_folds,f1_samples,f1_samples_std,f1_samples_folds,accuracy,accuracy_std,accuracy_folds,train_time_s
ohsumed,biobert,RandomForest,1650,10000,0.0062,0.0009,"0.0061,0.0065,0.0066,0.0073,0.0047",0.3269,0.0022,"0.3273,0.3253,0.3280,0.3301,0.3238",0.3339,0.0031,"0.3336,0.3302,0.3360,0.3386,0.3313",,,,25184.22
ohsumed,biobert,XGBoost,1650,10000,0.0546,0.0018,"0.0541,0.0575,0.0538,0.0557,0.0520",0.4127,0.0037,"0.4121,0.4106,0.4136,0.4192,0.4082",0.4044,0.0038,"0.4022,0.4032,0.4060,0.4108,0.3997",,,,11143.49
ohsumed,biobert,NaiveBayes,1650,10000,0.0685,0.0026,"0.0692,0.0679,0.0723,0.0643,0.0688",0.0596,0.0006,"0.0592,0.0606,0.0595,0.0588,0.0597",0.1133,0.002,"0.1112,0.1132,0.1164,0.1147,0.1111",,,,197.8
ohsumed,biobert,k-NN,1650,10000,0.0641,0.0021,"0.0623,0.0631,0.0664,0.0671,0.0620",0.4074,0.0046,"0.4023,0.4044,0.4102,0.4149,0.4054",0.3969,0.0054,"0.3921,0.3923,0.4008,0.4057,0.3936",,,,1427.91
ohsumed,biobert,LogisticReg,1650,10000,0.0853,0.004,"0.0843,0.0923,0.0801,0.0841,0.0858",0.449,0.0045,"0.4453,0.4482,0.4538,0.4544,0.4430",0.4358,0.0051,"0.4307,0.4324,0.4418,0.4422,0.4319",,,,1545.35
ohsumed,biobert,SVM,1650,10000,0.0033,0.0001,"0.0033,0.0034,0.0032,0.0034,0.0033",0.3508,0.0032,"0.3485,0.3508,0.3497,0.3569,0.3481",0.3549,0.0039,"0.3510,0.3531,0.3539,0.3625,0.3542",,,,16153.08
ohsumed,lda,NaiveBayes,1650,10000,0.0246,0.0004,"0.0247,0.0244,0.0252,0.0241,0.0247",0.0362,0.0002,"0.0366,0.0362,0.0364,0.0360,0.0360",0.0421,0.0008,"0.0421,0.0415,0.0436,0.0416,0.0418",,,,27.05
ohsumed,lda,k-NN,1650,10000,0.0067,0.0008,"0.0059,0.0083,0.0063,0.0064,0.0066",0.3005,0.0034,"0.3041,0.3022,0.2999,0.3022,0.2943",0.3041,0.0028,"0.3049,0.3060,0.3050,0.3061,0.2985",,,,499.2
ohsumed,lda,SVM,1650,10000,0.0023,0.0,"0.0023,0.0023,0.0023,0.0023,0.0023",0.2917,0.0019,"0.2950,0.2912,0.2917,0.2916,0.2892",0.3014,0.0019,"0.3020,0.2989,0.3039,0.3025,0.2996",,,,1154.53
ohsumed,lda,LogisticReg,1650,10000,0.0024,0.0001,"0.0025,0.0025,0.0025,0.0024,0.0023",0.2855,0.0013,"0.2874,0.2854,0.2854,0.2862,0.2833",0.2952,0.0017,"0.2961,0.2931,0.2974,0.2961,0.2933",,,,34.1
