exp_id,method,f1_macro,accuracy,train_time_s
A1,"Zero-shot: OHSUMED → ST (BioBERT+LR, 1650→6标签, F1≈0预期)",0.0,0.0,468.02
A2,"Zero-shot: PML → ST (BioBERT+LR, 14→6标签, F1≈0预期)",0.0014,0.0044,84.46
A4,"Zero-shot: PML → ST (BioBERT+XGBoost, 14→6标签, F1≈0预期)",0.0055,0.0066,77.82
A5,"Zero-shot: PGB → ST (BioBERT+LR, 3→6标签, F1≈0预期)",0.0018,0.0055,5.73
B1,Baseline: ST → ST (BioBERT+LR),0.8157,0.9378,38.19
B3,Baseline: ST → ST (BioBERT+XGBoost),0.7457,0.9236,36.11
D1,Graph: GCN on ST k-NN similarity graph,0.7518669294366115,0.9203056768558951,50.23
D2,Graph: GraphSAGE on ST k-NN similarity graph,0.7885874726295703,0.9268558951965066,21.6
B2,Baseline: ST → ST (BioBERT+MLP) [GPU],0.9139,0.9574,543.28,,
C1,Fine-tune: PML pre-train → ST fine-tune (BioBERT+MLP) [GPU],0.8218,0.9509,1228.33,639.95,579.03
C2,Fine-tune: OHSUMED pre-train → ST fine-tune (BioBERT+MLP) [GPU],0.8782,0.9541,935.37,652.25,274.17
