pmid,title,category,tags,confidence,category_manual,tags_manual,confidence_manual,agrees,notes
41533475,Utility of Fluorescence In Situ Hybridization as a Fetal Surgery Eligibility Criterion for Isolated Congenital Anomalies,Research,,low,,,,,
27153382,Detection of Papillomavirus Gene Expression Patterns in Tissue Sections.,Protocol,Image-Based Analysis,medium,,,,,
40924538,BISON: bi-clustering of spatial omics data with feature selection.,Technology,Spatial Domain Identification; Spatially Variable Genes,high,,,,,
27790742,"The utility of ETV1, ETV4 and ETV5 RNA in-situ hybridization in the diagnosis of CIC-DUX sarcomas.",Research,Image-Based Analysis,medium,,,,,
40520021,Integrative Single-Cell and Spatial Transcriptomics Analysis Reveals ECM-remodeling Cancer-associated Fibroblast-Derived,Research,Cell-Cell Communication; Spatial Trajectory Inference; Cell-Type Deconvolution; Spatial Integration,high,,,,,
40611896,The Spatial Atlas of Human Anatomy (SAHA): A Multimodal Subcellular-Resolution Reference Across Human Organs.,Data Resource,Spatial Domain Identification; Cell-Cell Communication; Spatial Integration; Multi-Omics Integration,high,,,,,
40281655,Macrophage Lyn Kinase Is a Sex-Specific Regulator of Post-Subarachnoid Hemorrhage Neuroinflammation.,Research,,medium,,,,,
39671282,Protocol for single-molecule FISH in the developing mouse retinal vasculature.,Protocol,Image-Based Analysis,high,,,,,
35171486,Analyzing the Composition and Organization of Ribonucleoprotein Complexes by APEX-Seq.,Technology,,medium,,,,,
41751412,From GWAS Signals to Causal Genes in Chronic Kidney Disease.,Review,,high,,,,,
41451540,CELLetter: leveraging large language model and dual-stream network to identify context-specific ligand-receptor interact,Technology,Cell-Cell Communication; Benchmarking & Evaluation; Spatial Co-Expression,high,,,,,
41265636,Multi-omics analysis identifies S100a10/Anxa2 complex within proximal tubule aggravates acute kidney injury through p-St,Research,Multi-Omics Integration,medium,,,,,
41475272,SPP1-CD44 signaling contributes to the mechanisms and therapeutic implications in intervertebral disc degeneration.,Review,Cell-Cell Communication; Niche & Microenvironment; Spatially Variable Genes; Multi-Omics Integration,high,,,,,
41843898,TUSCAN: Tumor segmentation and classification analysis in spatial transcriptomics.,Research,Spatial Domain Identification; Benchmarking & Evaluation,high,,,,,
36928764,A single-cell transcriptome atlas profiles early organogenesis in human embryos.,Research,Spatial Integration,medium,,,,,
41028408,ERO1A-positive tumor epithelial cells in colorectal cancer progression: a multi-omics perspective.,Research,Cell-Cell Communication; Cell-Type Deconvolution; Multi-Omics Integration,medium,,,,,
41073785,Single-cell multi-omic and spatial profiling of esophageal squamous cell carcinoma reveals the immunosuppressive role of,Research,Cell-Cell Communication; Spatial Domain Identification; Multi-Omics Integration,high,,,,,
31718172,APEX Proximity Labeling as a Versatile Tool for Biological Research.,Review,,medium,,,,,
36465633,A spatiotemporal steroidogenic regulatory network in human fetal adrenal glands and gonads.,Research,,medium,,,,,
40279436,Adipose-derived leptin and complement factor D mediate osteoarthritis severity and pain.,Research,Cell-Cell Communication; Multi-Omics Integration; Niche & Microenvironment,medium,,,,,
41323651,A practical protocol of processing mineralized tissue for Visium spatial transcriptomics.,Protocol,,high,,,,,
38464011,General Capillary Endothelial Cells Undergo Reprogramming into Arterial Endothelial Cells in Pulmonary Hypertension thro,Research,,medium,,,,,
40534868,Integrated transcriptomics and machine learning reveal REN as a dual regulator of tumor stemness and NK cell evasion in ,Research,Cell-Cell Communication; Niche & Microenvironment,high,,,,,
41779089,Topological Data Analysis for Unsupervised Feature Selection in Large Scale Spatial Omics Data Sets.,Technology,Spatially Variable Genes,high,,,,,
30074319,"Application of fluorescence in situ hybridization (FISH) as a tool to aid cytogenetics in 1,409 fetal samples.",Research,,low,,,,,
41997362,Microbial Monotherapy With Leuconostoc sp LB-P8 Improves Inflammation and Fibrosis in Mouse Primary Sclerosing Cholangit,Research,Niche & Microenvironment; Image-Based Analysis,high,,,,,
41667720,Attention-guided enhanced deconvolution enables reference-free cell type estimation in spatial transcriptomics.,Technology,Cell-Type Deconvolution; Spatial Domain Identification,medium,,,,,
39127090,Polymicrobial consortia in the pathogenesis of biofilm vaginosis visualized by FISH. Historic review outlining the basic,Review,Image-Based Analysis; Niche & Microenvironment,medium,,,,,
33004995,The suitability of NONO-TFE3 dual-fusion FISH assay as a diagnostic tool for NONO-TFE3 renal cell carcinoma.,Research,,high,,,,,
32910905,The Stress-Like Cancer Cell State Is a Consistent Component of Tumorigenesis.,Research,Spatial Domain Identification; Spatially Variable Genes,medium,,,,,
39496775,Effect of fibroblast heterogeneity on prognosis and drug resistance in high-grade serous ovarian cancer.,Research,Cell-Cell Communication; Niche & Microenvironment; Spatial Integration; Cell-Type Deconvolution,high,,,,,
27284969,FISHing for gutta-percha-adhered biofilms in purulent post-treatment apical periodontitis.,Research,,low,,,,,
41265398,Piscis: A loss estimator of the F1 score enables accurate spot detection in fluorescence microscopy images via deep lear,Technology,Image-Based Analysis; Benchmarking & Evaluation,high,,,,,
31509355,Heterogeneity of p16 immunohistochemistry and increased sensitivity of RNA in situ hybridization in cytology specimens o,Research,,high,,,,,
40083663,Metal-dependent cell death resistance contribute to lymph node metastasis of oral squamous cell carcinoma.,Research,Cell-Type Deconvolution; Cell-Cell Communication; Spatial Trajectory Inference,high,,,,,
41617396,Single-cell spatial transcriptomics uncovers niches that govern response to PD-1/PD-L1 blockade in cutaneous squamous ce,Research,Spatial Domain Identification; Niche & Microenvironment; Spatial Co-Expression,high,,,,,
36090815,Define and visualize pathological architectures of human tissues from spatially resolved transcriptomics using deep lear,Technology,Spatial Domain Identification; Image-Based Analysis,medium,,,,,
39643161,Cell type census in cerebral cortex reveals species-specific brain function and connectivity.,Review,,high,,,,,
36711919,Spatial transcriptomics reveals a conserved segment polarity program that governs muscle patterning in <i>Nematostella v,Research,Spatial Domain Identification; Spatially Variable Genes; 3D Reconstruction,medium,,,,,
33659301,Isolation of Tumor Cells Based on Their Distance from Blood Vessels.,Technology,Spatial Domain Identification; Niche & Microenvironment,medium,,,,,
35390105,Spatial transcriptomics reveals antiparasitic targets associated with essential behaviors in the human parasite Brugia m,Research,Spatial Domain Identification; Spatially Variable Genes,medium,,,,,
40473310,Multi-omic spatial profiling reveals the unique SARS-CoV-2 lung microenvironment and collagen VI as a predictive biomark,Research,Niche & Microenvironment; Multi-Omics Integration,high,,,,,
41666644,MYB: A potential therapeutic target in triple-negative breast cancer based on the PI3K/AKT signaling pathway.,Research,Cell-Type Deconvolution; Niche & Microenvironment,medium,,,,,
37900283,An update on methods for detection of prognostic and predictive biomarkers in melanoma.,Review,Image-Based Analysis,high,,,,,
